Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,07%"
"GALICIA","30-39","2","0,14%"
"GALICIA","40-49","3","0,21%"
"GALICIA","50-59","36","2,49%"
"GALICIA","60-69","88","6,09%"
"GALICIA","70-79","253","17,51%"
"GALICIA","80-89","654","45,26%"
"GALICIA",">=90","407","28,17%"
"GALICIA","Otros","1","0,07%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,31%"
"A.S. A CORUÑA E CEE","40-49","1","0,31%"
"A.S. A CORUÑA E CEE","50-59","11","3,36%"
"A.S. A CORUÑA E CEE","60-69","30","9,17%"
"A.S. A CORUÑA E CEE","70-79","68","20,8%"
"A.S. A CORUÑA E CEE","80-89","139","42,51%"
"A.S. A CORUÑA E CEE",">=90","77","23,55%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","2,15%"
"A.S. FERROL","60-69","4","4,3%"
"A.S. FERROL","70-79","20","21,51%"
"A.S. FERROL","80-89","43","46,24%"
"A.S. FERROL",">=90","24","25,81%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,68%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","9","6,16%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","21","14,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","64","43,84%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","51","34,93%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","1,91%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","12","3,82%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","47","14,97%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","144","45,86%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","105","33,44%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","3,49%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","12","13,95%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","21","24,42%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","33","38,37%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","17","19,77%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,5%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,5%"
"A.S. SANTIAGO E BARBANZA","50-59","5","2,48%"
"A.S. SANTIAGO E BARBANZA","60-69","11","5,45%"
"A.S. SANTIAGO E BARBANZA","70-79","38","18,81%"
"A.S. SANTIAGO E BARBANZA","80-89","102","50,5%"
"A.S. SANTIAGO E BARBANZA",">=90","43","21,29%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,5%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,36%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,36%"
"A.S. VIGO","50-59","8","2,89%"
"A.S. VIGO","60-69","10","3,61%"
"A.S. VIGO","70-79","38","13,72%"
"A.S. VIGO","80-89","129","46,57%"
"A.S. VIGO",">=90","90","32,49%"
