Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,05%"
"GALICIA","30-39","3","0,14%"
"GALICIA","40-49","7","0,32%"
"GALICIA","50-59","63","2,87%"
"GALICIA","60-69","144","6,56%"
"GALICIA","70-79","404","18,4%"
"GALICIA","80-89","980","44,63%"
"GALICIA",">=90","593","27%"
"GALICIA","Otros","1","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,19%"
"A.S. A CORUÑA E CEE","40-49","5","0,94%"
"A.S. A CORUÑA E CEE","50-59","19","3,58%"
"A.S. A CORUÑA E CEE","60-69","48","9,06%"
"A.S. A CORUÑA E CEE","70-79","115","21,7%"
"A.S. A CORUÑA E CEE","80-89","225","42,45%"
"A.S. A CORUÑA E CEE",">=90","117","22,08%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","5","2,49%"
"A.S. FERROL","60-69","12","5,97%"
"A.S. FERROL","70-79","43","21,39%"
"A.S. FERROL","80-89","92","45,77%"
"A.S. FERROL",">=90","49","24,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","2","1%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","12","6%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","25","12,5%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","93","46,5%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","68","34%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","8","2%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","15","3,74%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","64","15,96%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","181","45,14%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","133","33,17%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,68%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","10","6,8%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","17","11,56%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","41","27,89%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","54","36,73%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","24","16,33%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,3%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,3%"
"A.S. SANTIAGO E BARBANZA","50-59","7","2,13%"
"A.S. SANTIAGO E BARBANZA","60-69","20","6,1%"
"A.S. SANTIAGO E BARBANZA","70-79","63","19,21%"
"A.S. SANTIAGO E BARBANZA","80-89","159","48,48%"
"A.S. SANTIAGO E BARBANZA",">=90","76","23,17%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,3%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,26%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,26%"
"A.S. VIGO","50-59","12","3,08%"
"A.S. VIGO","60-69","20","5,14%"
"A.S. VIGO","70-79","53","13,62%"
"A.S. VIGO","80-89","176","45,24%"
"A.S. VIGO",">=90","126","32,39%"
