Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,07%"
"GALICIA","30-39","2","0,14%"
"GALICIA","40-49","3","0,21%"
"GALICIA","50-59","36","2,52%"
"GALICIA","60-69","86","6,03%"
"GALICIA","70-79","252","17,66%"
"GALICIA","80-89","643","45,06%"
"GALICIA",">=90","403","28,24%"
"GALICIA","Otros","1","0,07%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,31%"
"A.S. A CORUÑA E CEE","40-49","1","0,31%"
"A.S. A CORUÑA E CEE","50-59","11","3,42%"
"A.S. A CORUÑA E CEE","60-69","30","9,32%"
"A.S. A CORUÑA E CEE","70-79","68","21,12%"
"A.S. A CORUÑA E CEE","80-89","137","42,55%"
"A.S. A CORUÑA E CEE",">=90","74","22,98%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","2,2%"
"A.S. FERROL","60-69","4","4,4%"
"A.S. FERROL","70-79","20","21,98%"
"A.S. FERROL","80-89","41","45,05%"
"A.S. FERROL",">=90","24","26,37%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,69%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","9","6,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","21","14,48%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","63","43,45%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","51","35,17%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","1,92%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","12","3,85%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","47","15,06%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","142","45,51%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","105","33,65%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","3,61%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","11","13,25%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","20","24,1%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","32","38,55%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","17","20,48%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,5%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,5%"
"A.S. SANTIAGO E BARBANZA","50-59","5","2,49%"
"A.S. SANTIAGO E BARBANZA","60-69","11","5,47%"
"A.S. SANTIAGO E BARBANZA","70-79","38","18,91%"
"A.S. SANTIAGO E BARBANZA","80-89","101","50,25%"
"A.S. SANTIAGO E BARBANZA",">=90","43","21,39%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,5%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,37%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,37%"
"A.S. VIGO","50-59","8","2,93%"
"A.S. VIGO","60-69","9","3,3%"
"A.S. VIGO","70-79","38","13,92%"
"A.S. VIGO","80-89","127","46,52%"
"A.S. VIGO",">=90","89","32,6%"
