Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,03%"
"GALICIA","30-39","5","0,16%"
"GALICIA","40-49","14","0,44%"
"GALICIA","50-59","99","3,09%"
"GALICIA","60-69","215","6,72%"
"GALICIA","70-79","619","19,34%"
"GALICIA","80-89","1.380","43,13%"
"GALICIA",">=90","866","27,06%"
"GALICIA","Otros","1","0,03%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,27%"
"A.S. A CORUÑA E CEE","40-49","8","1,07%"
"A.S. A CORUÑA E CEE","50-59","30","4,03%"
"A.S. A CORUÑA E CEE","60-69","65","8,72%"
"A.S. A CORUÑA E CEE","70-79","160","21,48%"
"A.S. A CORUÑA E CEE","80-89","311","41,74%"
"A.S. A CORUÑA E CEE",">=90","169","22,68%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","1","0,38%"
"A.S. FERROL","50-59","6","2,27%"
"A.S. FERROL","60-69","14","5,3%"
"A.S. FERROL","70-79","56","21,21%"
"A.S. FERROL","80-89","120","45,45%"
"A.S. FERROL",">=90","67","25,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","1","0,31%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,25%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","23","7,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","42","13,17%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","144","45,14%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","105","32,92%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,18%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","15","2,77%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","21","3,88%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","93","17,19%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","228","42,14%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","183","33,83%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,38%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","4,51%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","27","10,15%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","61","22,93%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","107","40,23%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","58","21,8%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,23%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,23%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,8%"
"A.S. SANTIAGO E BARBANZA","60-69","28","6,31%"
"A.S. SANTIAGO E BARBANZA","70-79","95","21,4%"
"A.S. SANTIAGO E BARBANZA","80-89","203","45,72%"
"A.S. SANTIAGO E BARBANZA",">=90","107","24,1%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,23%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,16%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,48%"
"A.S. VIGO","50-59","24","3,86%"
"A.S. VIGO","60-69","37","5,96%"
"A.S. VIGO","70-79","112","18,04%"
"A.S. VIGO","80-89","267","43%"
"A.S. VIGO",">=90","177","28,5%"
