Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,03%"
"GALICIA","30-39","5","0,15%"
"GALICIA","40-49","14","0,43%"
"GALICIA","50-59","99","3,06%"
"GALICIA","60-69","218","6,73%"
"GALICIA","70-79","626","19,32%"
"GALICIA","80-89","1.395","43,06%"
"GALICIA",">=90","881","27,19%"
"GALICIA","Otros","1","0,03%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,27%"
"A.S. A CORUÑA E CEE","40-49","8","1,07%"
"A.S. A CORUÑA E CEE","50-59","30","4,01%"
"A.S. A CORUÑA E CEE","60-69","65","8,69%"
"A.S. A CORUÑA E CEE","70-79","161","21,52%"
"A.S. A CORUÑA E CEE","80-89","311","41,58%"
"A.S. A CORUÑA E CEE",">=90","171","22,86%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","1","0,37%"
"A.S. FERROL","50-59","6","2,23%"
"A.S. FERROL","60-69","15","5,58%"
"A.S. FERROL","70-79","56","20,82%"
"A.S. FERROL","80-89","121","44,98%"
"A.S. FERROL",">=90","70","26,02%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","1","0,31%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,24%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","23","7,14%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","43","13,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","146","45,34%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","105","32,61%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,18%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","15","2,75%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","22","4,03%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","93","17,03%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","232","42,49%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","183","33,52%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,37%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","4,44%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","27","10%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","61","22,59%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","107","39,63%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","62","22,96%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,22%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,22%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,77%"
"A.S. SANTIAGO E BARBANZA","60-69","28","6,19%"
"A.S. SANTIAGO E BARBANZA","70-79","95","21,02%"
"A.S. SANTIAGO E BARBANZA","80-89","209","46,24%"
"A.S. SANTIAGO E BARBANZA",">=90","109","24,12%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,22%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,16%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,47%"
"A.S. VIGO","50-59","24","3,79%"
"A.S. VIGO","60-69","38","6%"
"A.S. VIGO","70-79","117","18,48%"
"A.S. VIGO","80-89","269","42,5%"
"A.S. VIGO",">=90","181","28,59%"
