Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","2","0,05%"
"GALICIA","30-39","5","0,13%"
"GALICIA","40-49","17","0,44%"
"GALICIA","50-59","105","2,71%"
"GALICIA","60-69","251","6,49%"
"GALICIA","70-79","738","19,07%"
"GALICIA","80-89","1.649","42,62%"
"GALICIA",">=90","1.100","28,43%"
"GALICIA","Otros","2","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,23%"
"A.S. A CORUÑA E CEE","40-49","8","0,9%"
"A.S. A CORUÑA E CEE","50-59","31","3,5%"
"A.S. A CORUÑA E CEE","60-69","76","8,58%"
"A.S. A CORUÑA E CEE","70-79","190","21,44%"
"A.S. A CORUÑA E CEE","80-89","371","41,87%"
"A.S. A CORUÑA E CEE",">=90","208","23,48%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,62%"
"A.S. FERROL","50-59","7","2,18%"
"A.S. FERROL","60-69","17","5,3%"
"A.S. FERROL","70-79","60","18,69%"
"A.S. FERROL","80-89","144","44,86%"
"A.S. FERROL",">=90","91","28,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","2","0,51%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,01%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","26","6,57%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","55","13,89%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","167","42,17%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","142","35,86%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,16%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","17","2,66%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","27","4,22%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","111","17,34%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","270","42,19%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","214","33,44%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","1","0,3%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,3%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","3,6%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","29","8,71%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","76","22,82%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","128","38,44%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","85","25,53%"
"A.S. PONTEVEDRA E O SALNÉS","Otros","1","0,3%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,19%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,19%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,5%"
"A.S. SANTIAGO E BARBANZA","60-69","33","6,18%"
"A.S. SANTIAGO E BARBANZA","70-79","107","20,04%"
"A.S. SANTIAGO E BARBANZA","80-89","246","46,07%"
"A.S. SANTIAGO E BARBANZA",">=90","137","25,66%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,19%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,13%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","4","0,53%"
"A.S. VIGO","50-59","26","3,43%"
"A.S. VIGO","60-69","43","5,67%"
"A.S. VIGO","70-79","139","18,31%"
"A.S. VIGO","80-89","323","42,56%"
"A.S. VIGO",">=90","223","29,38%"
