Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","2","0,05%"
"GALICIA","30-39","5","0,12%"
"GALICIA","40-49","17","0,42%"
"GALICIA","50-59","106","2,63%"
"GALICIA","60-69","264","6,55%"
"GALICIA","70-79","769","19,07%"
"GALICIA","80-89","1.711","42,44%"
"GALICIA",">=90","1.156","28,67%"
"GALICIA","Otros","2","0,05%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,22%"
"A.S. A CORUÑA E CEE","40-49","8","0,88%"
"A.S. A CORUÑA E CEE","50-59","31","3,4%"
"A.S. A CORUÑA E CEE","60-69","80","8,77%"
"A.S. A CORUÑA E CEE","70-79","196","21,49%"
"A.S. A CORUÑA E CEE","80-89","377","41,34%"
"A.S. A CORUÑA E CEE",">=90","218","23,9%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,6%"
"A.S. FERROL","50-59","7","2,1%"
"A.S. FERROL","60-69","17","5,09%"
"A.S. FERROL","70-79","61","18,26%"
"A.S. FERROL","80-89","150","44,91%"
"A.S. FERROL",">=90","97","29,04%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","2","0,48%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","0,96%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","27","6,47%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","59","14,15%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","175","41,97%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","150","35,97%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,15%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","17","2,59%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","28","4,26%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","114","17,35%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","278","42,31%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","219","33,33%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","1","0,28%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,28%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","3,4%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","30","8,5%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","80","22,66%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","137","38,81%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","91","25,78%"
"A.S. PONTEVEDRA E O SALNÉS","Otros","1","0,28%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,18%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,18%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,46%"
"A.S. SANTIAGO E BARBANZA","60-69","35","6,39%"
"A.S. SANTIAGO E BARBANZA","70-79","110","20,07%"
"A.S. SANTIAGO E BARBANZA","80-89","252","45,99%"
"A.S. SANTIAGO E BARBANZA",">=90","140","25,55%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,18%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,12%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","4","0,49%"
"A.S. VIGO","50-59","27","3,33%"
"A.S. VIGO","60-69","47","5,8%"
"A.S. VIGO","70-79","149","18,37%"
"A.S. VIGO","80-89","342","42,17%"
"A.S. VIGO",">=90","241","29,72%"
