Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,03%"
"GALICIA","30-39","5","0,14%"
"GALICIA","40-49","15","0,43%"
"GALICIA","50-59","101","2,87%"
"GALICIA","60-69","233","6,62%"
"GALICIA","70-79","676","19,2%"
"GALICIA","80-89","1.510","42,89%"
"GALICIA",">=90","979","27,8%"
"GALICIA","Otros","1","0,03%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,25%"
"A.S. A CORUÑA E CEE","40-49","8","1%"
"A.S. A CORUÑA E CEE","50-59","30","3,73%"
"A.S. A CORUÑA E CEE","60-69","68","8,46%"
"A.S. A CORUÑA E CEE","70-79","173","21,52%"
"A.S. A CORUÑA E CEE","80-89","340","42,29%"
"A.S. A CORUÑA E CEE",">=90","183","22,76%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,65%"
"A.S. FERROL","50-59","6","1,94%"
"A.S. FERROL","60-69","17","5,5%"
"A.S. FERROL","70-79","59","19,09%"
"A.S. FERROL","80-89","136","44,01%"
"A.S. FERROL",">=90","89","28,8%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","1","0,29%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,15%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","25","7,16%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","50","14,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","151","43,27%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","118","33,81%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,17%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","16","2,66%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","27","4,49%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","104","17,3%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","256","42,6%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","197","32,78%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,34%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","4,1%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","28","9,56%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","65","22,18%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","114","38,91%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","73","24,91%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,21%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,21%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,65%"
"A.S. SANTIAGO E BARBANZA","60-69","29","5,99%"
"A.S. SANTIAGO E BARBANZA","70-79","101","20,87%"
"A.S. SANTIAGO E BARBANZA","80-89","221","45,66%"
"A.S. SANTIAGO E BARBANZA",">=90","122","25,21%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,21%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,15%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,44%"
"A.S. VIGO","50-59","25","3,67%"
"A.S. VIGO","60-69","39","5,73%"
"A.S. VIGO","70-79","124","18,21%"
"A.S. VIGO","80-89","292","42,88%"
"A.S. VIGO",">=90","197","28,93%"
