Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,03%"
"GALICIA","30-39","5","0,16%"
"GALICIA","40-49","13","0,43%"
"GALICIA","50-59","96","3,16%"
"GALICIA","60-69","206","6,79%"
"GALICIA","70-79","589","19,41%"
"GALICIA","80-89","1.303","42,93%"
"GALICIA",">=90","821","27,05%"
"GALICIA","Otros","1","0,03%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,28%"
"A.S. A CORUÑA E CEE","40-49","7","0,98%"
"A.S. A CORUÑA E CEE","50-59","29","4,06%"
"A.S. A CORUÑA E CEE","60-69","64","8,95%"
"A.S. A CORUÑA E CEE","70-79","156","21,82%"
"A.S. A CORUÑA E CEE","80-89","296","41,4%"
"A.S. A CORUÑA E CEE",">=90","161","22,52%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","1","0,39%"
"A.S. FERROL","50-59","6","2,36%"
"A.S. FERROL","60-69","13","5,12%"
"A.S. FERROL","70-79","54","21,26%"
"A.S. FERROL","80-89","116","45,67%"
"A.S. FERROL",">=90","64","25,2%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","1","0,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,34%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","19","6,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","39","13,04%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","133","44,48%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","103","34,45%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,19%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","14","2,7%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","20","3,86%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","88","16,99%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","221","42,66%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","174","33,59%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,4%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","4,78%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","27","10,76%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","60","23,9%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","97","38,65%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","54","21,51%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,24%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,24%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,92%"
"A.S. SANTIAGO E BARBANZA","60-69","27","6,47%"
"A.S. SANTIAGO E BARBANZA","70-79","92","22,06%"
"A.S. SANTIAGO E BARBANZA","80-89","189","45,32%"
"A.S. SANTIAGO E BARBANZA",">=90","98","23,5%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,24%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,17%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,52%"
"A.S. VIGO","50-59","23","3,96%"
"A.S. VIGO","60-69","36","6,2%"
"A.S. VIGO","70-79","100","17,21%"
"A.S. VIGO","80-89","251","43,2%"
"A.S. VIGO",">=90","167","28,74%"
