Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,08%"
"GALICIA","30-39","2","0,16%"
"GALICIA","40-49","2","0,16%"
"GALICIA","50-59","34","2,77%"
"GALICIA","60-69","74","6,03%"
"GALICIA","70-79","218","17,75%"
"GALICIA","80-89","561","45,68%"
"GALICIA",">=90","335","27,28%"
"GALICIA","Otros","1","0,08%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,35%"
"A.S. A CORUÑA E CEE","40-49","1","0,35%"
"A.S. A CORUÑA E CEE","50-59","11","3,83%"
"A.S. A CORUÑA E CEE","60-69","25","8,71%"
"A.S. A CORUÑA E CEE","70-79","61","21,25%"
"A.S. A CORUÑA E CEE","80-89","120","41,81%"
"A.S. A CORUÑA E CEE",">=90","68","23,69%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","1","1,32%"
"A.S. FERROL","60-69","3","3,95%"
"A.S. FERROL","70-79","16","21,05%"
"A.S. FERROL","80-89","38","50%"
"A.S. FERROL",">=90","18","23,68%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,79%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","7","5,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","19","15,08%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","57","45,24%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","42","33,33%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","2,04%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","12","4,08%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","43","14,63%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","133","45,24%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","100","34,01%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","5,26%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","10","17,54%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","13","22,81%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","25","43,86%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","6","10,53%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,6%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,6%"
"A.S. SANTIAGO E BARBANZA","50-59","4","2,38%"
"A.S. SANTIAGO E BARBANZA","60-69","11","6,55%"
"A.S. SANTIAGO E BARBANZA","70-79","31","18,45%"
"A.S. SANTIAGO E BARBANZA","80-89","88","52,38%"
"A.S. SANTIAGO E BARBANZA",">=90","31","18,45%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,6%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,45%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","8","3,64%"
"A.S. VIGO","60-69","6","2,73%"
"A.S. VIGO","70-79","35","15,91%"
"A.S. VIGO","80-89","100","45,45%"
"A.S. VIGO",">=90","70","31,82%"
