Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,07%"
"GALICIA","30-39","2","0,14%"
"GALICIA","40-49","3","0,2%"
"GALICIA","50-59","36","2,43%"
"GALICIA","60-69","91","6,15%"
"GALICIA","70-79","256","17,3%"
"GALICIA","80-89","672","45,41%"
"GALICIA",">=90","418","28,24%"
"GALICIA","Otros","1","0,07%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,3%"
"A.S. A CORUÑA E CEE","40-49","1","0,3%"
"A.S. A CORUÑA E CEE","50-59","11","3,3%"
"A.S. A CORUÑA E CEE","60-69","30","9,01%"
"A.S. A CORUÑA E CEE","70-79","68","20,42%"
"A.S. A CORUÑA E CEE","80-89","143","42,94%"
"A.S. A CORUÑA E CEE",">=90","79","23,72%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","2","2,08%"
"A.S. FERROL","60-69","4","4,17%"
"A.S. FERROL","70-79","21","21,88%"
"A.S. FERROL","80-89","45","46,88%"
"A.S. FERROL",">=90","24","25%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","9","6,04%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","21","14,09%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","66","44,3%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","52","34,9%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","1,89%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","12","3,79%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","48","15,14%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","145","45,74%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","106","33,44%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","3,37%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","12","13,48%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","22","24,72%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","34","38,2%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","18","20,22%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,47%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,47%"
"A.S. SANTIAGO E BARBANZA","50-59","5","2,33%"
"A.S. SANTIAGO E BARBANZA","60-69","14","6,51%"
"A.S. SANTIAGO E BARBANZA","70-79","38","17,67%"
"A.S. SANTIAGO E BARBANZA","80-89","109","50,7%"
"A.S. SANTIAGO E BARBANZA",">=90","46","21,4%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,47%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,36%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,36%"
"A.S. VIGO","50-59","8","2,85%"
"A.S. VIGO","60-69","10","3,56%"
"A.S. VIGO","70-79","38","13,52%"
"A.S. VIGO","80-89","130","46,26%"
"A.S. VIGO",">=90","93","33,1%"
