Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","2","0,18%"
"GALICIA","40-49","2","0,18%"
"GALICIA","50-59","32","2,83%"
"GALICIA","60-69","69","6,1%"
"GALICIA","70-79","197","17,4%"
"GALICIA","80-89","523","46,2%"
"GALICIA",">=90","306","27,03%"
"GALICIA","Otros","1","0,09%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,38%"
"A.S. A CORUÑA E CEE","40-49","1","0,38%"
"A.S. A CORUÑA E CEE","50-59","10","3,83%"
"A.S. A CORUÑA E CEE","60-69","21","8,05%"
"A.S. A CORUÑA E CEE","70-79","56","21,46%"
"A.S. A CORUÑA E CEE","80-89","109","41,76%"
"A.S. A CORUÑA E CEE",">=90","63","24,14%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","1","1,54%"
"A.S. FERROL","60-69","3","4,62%"
"A.S. FERROL","70-79","15","23,08%"
"A.S. FERROL","80-89","32","49,23%"
"A.S. FERROL",">=90","14","21,54%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","0,85%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","7","5,98%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","17","14,53%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","55","47,01%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","37","31,62%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","2,13%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","11","3,9%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","39","13,83%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","130","46,1%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","96","34,04%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","3","6,38%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","10","21,28%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","10","21,28%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","20","42,55%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","4","8,51%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,63%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,63%"
"A.S. SANTIAGO E BARBANZA","50-59","4","2,5%"
"A.S. SANTIAGO E BARBANZA","60-69","11","6,88%"
"A.S. SANTIAGO E BARBANZA","70-79","29","18,13%"
"A.S. SANTIAGO E BARBANZA","80-89","83","51,88%"
"A.S. SANTIAGO E BARBANZA",">=90","30","18,75%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,63%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","7","3,5%"
"A.S. VIGO","60-69","6","3%"
"A.S. VIGO","70-79","31","15,5%"
"A.S. VIGO","80-89","94","47%"
"A.S. VIGO",">=90","62","31%"
