Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","1","0,03%"
"GALICIA","30-39","5","0,15%"
"GALICIA","40-49","15","0,45%"
"GALICIA","50-59","99","2,96%"
"GALICIA","60-69","228","6,83%"
"GALICIA","70-79","638","19,11%"
"GALICIA","80-89","1.439","43,1%"
"GALICIA",">=90","913","27,34%"
"GALICIA","Otros","1","0,03%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","2","0,26%"
"A.S. A CORUÑA E CEE","40-49","8","1,05%"
"A.S. A CORUÑA E CEE","50-59","30","3,94%"
"A.S. A CORUÑA E CEE","60-69","67","8,79%"
"A.S. A CORUÑA E CEE","70-79","163","21,39%"
"A.S. A CORUÑA E CEE","80-89","317","41,6%"
"A.S. A CORUÑA E CEE",">=90","175","22,97%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","2","0,7%"
"A.S. FERROL","50-59","6","2,11%"
"A.S. FERROL","60-69","17","5,96%"
"A.S. FERROL","70-79","56","19,65%"
"A.S. FERROL","80-89","128","44,91%"
"A.S. FERROL",">=90","76","26,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","1","0,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","4","1,2%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","24","7,19%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","46","13,77%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","149","44,61%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","110","32,93%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","1","0,18%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","15","2,64%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","24","4,22%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","96","16,87%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","245","43,06%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","188","33,04%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","1","0,36%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","12","4,33%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","28","10,11%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","61","22,02%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","109","39,35%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","66","23,83%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,22%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,22%"
"A.S. SANTIAGO E BARBANZA","50-59","8","1,72%"
"A.S. SANTIAGO E BARBANZA","60-69","29","6,25%"
"A.S. SANTIAGO E BARBANZA","70-79","97","20,91%"
"A.S. SANTIAGO E BARBANZA","80-89","213","45,91%"
"A.S. SANTIAGO E BARBANZA",">=90","114","24,57%"
"A.S. SANTIAGO E BARBANZA","Otros","1","0,22%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","1","0,15%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","3","0,46%"
"A.S. VIGO","50-59","24","3,7%"
"A.S. VIGO","60-69","39","6,02%"
"A.S. VIGO","70-79","119","18,36%"
"A.S. VIGO","80-89","278","42,9%"
"A.S. VIGO",">=90","184","28,4%"
