Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","2","0,23%"
"GALICIA","40-49","2","0,23%"
"GALICIA","50-59","25","2,91%"
"GALICIA","60-69","53","6,16%"
"GALICIA","70-79","160","18,6%"
"GALICIA","80-89","386","44,88%"
"GALICIA",">=90","232","26,98%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","1","0,46%"
"A.S. A CORUÑA E CEE","40-49","1","0,46%"
"A.S. A CORUÑA E CEE","50-59","7","3,21%"
"A.S. A CORUÑA E CEE","60-69","17","7,8%"
"A.S. A CORUÑA E CEE","70-79","49","22,48%"
"A.S. A CORUÑA E CEE","80-89","90","41,28%"
"A.S. A CORUÑA E CEE",">=90","53","24,31%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","0","0%"
"A.S. FERROL","60-69","3","8,33%"
"A.S. FERROL","70-79","10","27,78%"
"A.S. FERROL","80-89","16","44,44%"
"A.S. FERROL",">=90","7","19,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,09%"
"A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,52%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,39%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","43","46,74%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,26%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","6","2,8%"
"A.S. OURENSE, VERÍN E O BARCO","60-69","8","3,74%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","28","13,08%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","98","45,79%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","74","34,58%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","2","7,41%"
"A.S. PONTEVEDRA E O SALNÉS","60-69","8","29,63%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","6","22,22%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","10","37,04%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","1","3,7%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","1","0,76%"
"A.S. SANTIAGO E BARBANZA","40-49","1","0,76%"
"A.S. SANTIAGO E BARBANZA","50-59","3","2,27%"
"A.S. SANTIAGO E BARBANZA","60-69","8","6,06%"
"A.S. SANTIAGO E BARBANZA","70-79","25","18,94%"
"A.S. SANTIAGO E BARBANZA","80-89","67","50,76%"
"A.S. SANTIAGO E BARBANZA",">=90","27","20,45%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","0","0%"
"A.S. VIGO","50-59","6","4,26%"
"A.S. VIGO","60-69","3","2,13%"
"A.S. VIGO","70-79","26","18,44%"
"A.S. VIGO","80-89","62","43,97%"
"A.S. VIGO",">=90","44","31,21%"
